"","p_val","odds","extreme_WT","extreme_MU","rest_WT","rest_MU","gene","extreme","p_adj","p_adj_star"
"3",0.000293748975954991,5.76833061206636,3495,58,1043,3,"ABL2","1",0.00183103528345277,"**"
"6",0.0197263943412867,Inf,3535,18,1046,0,"ACVR1","1",0.0477291034437272,"*"
"8",0.0135548776229251,4.74316167921885,3521,32,1044,2,"AFF1","1",0.036739794092436,"*"
"9",0.00026258256624705,4.24452637508687,3482,71,1041,5,"AFF3","1",0.00167635858866308,"**"
"10",5.90834487029429e-06,Inf,3505,48,1046,0,"AFF4","1",7.69512083356281e-05,"****"
"11",0.0101463269478919,3.41632780840963,3507,46,1042,4,"AKT1","1",0.0304389808436757,"*"
"13",0.000591031284081851,3.63540544240133,3480,73,1040,6,"ALK","1",0.00334917727646382,"**"
"14",0.00713453795848717,3.2126560291973,3499,54,1041,5,"AMER1","1",0.0230941866113766,"*"
"15",0.00389933520218347,2.50834224838062,3469,84,1036,10,"APC","1",0.0145835136561662,"*"
"17",0.0197382388572989,2.790673073978,3506,47,1041,5,"AR","1",0.0477291034437272,"*"
"19",0.000222251597867355,7.75139120574698,3501,52,1044,2,"ARHGEF12","1",0.00146686054592454,"**"
"21",7.82785085060683e-06,5.2865174797265,3465,88,1041,5,"ARID1B","1",9.75872072708985e-05,"****"
"22",0.000194790254034903,3.88996283454522,3475,78,1040,6,"ARID2","1",0.00143785963833659,"**"
"25",0.00108828856876772,4.24648696355298,3496,57,1042,4,"ASXL1","1",0.00540291935467866,"**"
"30",5.26048558685773e-06,5.40977711834787,3463,90,1041,5,"ATP2B3","1",7.02650574815997e-05,"****"
"31",0.0021947392523969,2.68774756918837,3472,81,1037,9,"ATR","1",0.00879463371853329,"**"
"32",0.000213926618843218,3.19921985520714,3457,96,1037,9,"ATRX","1",0.00146686054592454,"**"
"34",0.0136218844406893,4.89276121533528,3520,33,1044,2,"AXIN2","1",0.036739794092436,"*"
"40",0.000741217301466396,4.39798629869047,3494,59,1042,4,"BCL11A","1",0.00396021815354903,"**"
"46",0.0016827173960795,3.63632802492847,3492,61,1041,5,"BCL9","1",0.00726157276308155,"**"
"47",0.00477129173753711,4.45894583336482,3508,45,1043,3,"BCL9L","1",0.0167875607636692,"*"
"48",5.14086905812876e-07,11.7138538267542,3475,78,1044,2,"BCOR","1",8.48243394591246e-06,"****"
"49",0.00495115425065111,3.27307691133526,3498,55,1041,5,"BCORL1","1",0.0168535859385211,"*"
"50",0.0208869174567588,3.55811790605701,3517,36,1043,3,"BCR","1",0.0496506809035665,"*"
"52",0.0143924994470626,3.75790346866869,3515,38,1043,3,"BLM","1",0.0379070055859254,"*"
